"","n","allee","allee.f","initial.slope","slope.after.thresh"
"342",458,TRUE,"with Allee effect",1.02216432100055,1.77713157024539
"343",459,FALSE,"without Allee effect",0.927715227199643,1.50816599507228
"344",460,TRUE,"with Allee effect",0.407071736566521,6.90412008899894
"345",461,FALSE,"without Allee effect",1.01809344398244,1.74082969049522
"346",462,TRUE,"with Allee effect",0.887270121134363,2.07696557674939
"347",464,TRUE,"with Allee effect",0.634359836246696,3.7484847710488
"348",465,FALSE,"without Allee effect",0.760663991006216,2.00195031441338
"349",466,TRUE,"with Allee effect",0.776031527894531,2.84192038690083
"350",467,FALSE,"without Allee effect",0.819427754358195,1.52212255571897
"351",468,TRUE,"with Allee effect",0.784592387910205,1.90939143004816
"352",471,FALSE,"without Allee effect",0.609949993702445,1.90537850191993
"353",472,TRUE,"with Allee effect",0.858240586302849,1.88801017890462
"354",477,FALSE,"without Allee effect",0.611945022685035,1.56768986979272
"355",478,TRUE,"with Allee effect",0.726337454508872,2.18803589025982
"356",479,FALSE,"without Allee effect",0.941762196473747,1.92582042080331
"357",480,TRUE,"with Allee effect",0.83873867070199,2.23021908968629
"358",481,FALSE,"without Allee effect",0.887965928818587,1.86990814554562
"359",482,TRUE,"with Allee effect",0.96902588048625,1.99741421925584
"360",484,TRUE,"with Allee effect",0.812687047104146,2.92394270730949
"361",485,FALSE,"without Allee effect",0.841441961273654,1.68413899992185
"362",486,TRUE,"with Allee effect",0.688880396116182,2.86326658059337
"363",487,FALSE,"without Allee effect",1.3086179166506,1.80050911504444
"364",488,TRUE,"with Allee effect",1.05133923478373,1.65205624497939
"365",489,FALSE,"without Allee effect",1.00763143034615,1.65705245730939
"366",490,TRUE,"with Allee effect",0.668844897043071,6.71982803884999
"367",491,FALSE,"without Allee effect",0.855010174558086,1.56276704635697
"368",492,TRUE,"with Allee effect",0.591335599437825,1.82618244871349
"369",495,FALSE,"without Allee effect",0.975884319534794,2.16775294553084
"370",496,TRUE,"with Allee effect",0.876049167070677,2.22075496539328
"371",498,TRUE,"with Allee effect",1.02680669186758,2.74363808500092
"372",499,FALSE,"without Allee effect",0.866683231934684,1.59815653507549
"373",500,TRUE,"with Allee effect",0.163867119426413,1.62834645238945
"374",501,FALSE,"without Allee effect",0.925999418556241,1.66586734240081
"375",502,TRUE,"with Allee effect",1.08232263903115,2.14068003063152
"376",503,FALSE,"without Allee effect",1.19954643210275,1.88247206889097
"377",504,TRUE,"with Allee effect",0.696067304288939,1.86854898458751
"378",506,TRUE,"with Allee effect",0.888422514624526,3.38250480116283
"379",508,TRUE,"with Allee effect",1.06041110871908,3.28504539588721
"380",509,FALSE,"without Allee effect",0.906497782560802,1.61119808492665
"381",510,TRUE,"with Allee effect",0.896571710402685,2.80622875389084
"382",511,FALSE,"without Allee effect",0.749923281598904,1.74681738593177
"383",512,TRUE,"with Allee effect",1.23511478023617,2.05794822817861
